Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
"=""3p6.26d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34843.9804"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.26d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34843.9827"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.28s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34845.2004"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.27d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34856.1570"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.27d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34856.1590"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.29s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34857.2470"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.28d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34867.0404"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.28d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34867.0423"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.30s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34868.0180"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.29d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""34876.8070"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.29d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""34876.8087"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.31s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""34877.6871"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.30d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34885.6048"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.30d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34885.6062"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.32s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34886.3999"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.31d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""34893.5578"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.31d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""34893.5591"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.33s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""34894.2785"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.32d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34900.7707"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
