Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""1s2.35p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43395.4"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.35p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43395.4"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.36p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43400.5"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.36p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43400.5"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.37p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43404.7"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.37p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43404.7"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.38p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43408.6"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.38p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43408.6"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.39p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43412.4"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.39p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43412.4"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.40p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43416.9"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.40p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43416.9"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.41p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43420.9"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.41p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43420.9"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.42p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43424.3"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.42p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43424.3"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
