Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""2p6.16d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""41020.000"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.16d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""41020.001"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.16f"",""=""""2F*"""""",""=""""5/2,7/2"""""",""=""""["""""",""=""""41020.714"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.16g"",""=""""2G"""""",""=""""7/2,9/2"""""",""=""""["""""",""=""""41020.777"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.17p"",""=""""2P*"""""",""=""""1/2"""""",""=""""["""""",""=""""41028.419"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.17p"",""=""""2P*"""""",""=""""3/2"""""",""=""""["""""",""=""""41028.462"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.18s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""41053.701"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.17d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""41069.079"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.17d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""41069.080"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.17f"",""=""""2F*"""""",""=""""5/2,7/2"""""",""=""""["""""",""=""""41069.674"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.17g"",""=""""2G"""""",""=""""7/2,9/2"""""",""=""""["""""",""=""""41069.727"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.18p"",""=""""2P*"""""",""=""""1/2"""""",""=""""["""""",""=""""41076.106"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.18p"",""=""""2P*"""""",""=""""3/2"""""",""=""""["""""",""=""""41076.141"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.19s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""41097.271"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.18d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""41110.202"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.18d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""41110.202"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.18f"",""=""""2F*"""""",""=""""5/2,7/2"""""",""=""""["""""",""=""""41110.703"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.18g"",""=""""2G"""""",""=""""7/2"""""",""=""""["""""",""=""""41110.747"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.18g"",""=""""2G"""""",""=""""9/2"""""",""=""""["""""",""=""""41110.748"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.19p"",""=""""2P*"""""",""=""""1/2"""""",""=""""["""""",""=""""41116.126"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.19p"",""=""""2P*"""""",""=""""3/2"""""",""=""""["""""",""=""""41116.156"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.20s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""41134.023"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.19d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""41144.999"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.19d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""41145.000"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.19f"",""=""""2F*"""""",""=""""5/2,7/2"""""",""=""""["""""",""=""""41145.425"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.19g"",""=""""2G"""""",""=""""7/2,9/2"""""",""=""""["""""",""=""""41145.463"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.20p"",""=""""2P*"""""",""=""""1/2"""""",""=""""["""""",""=""""41150.040"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.20p"",""=""""2P*"""""",""=""""3/2"""""",""=""""["""""",""=""""41150.066"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.20d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""41174.705"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.20d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""41174.705"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.20f"",""=""""2F*"""""",""=""""5/2,7/2"""""",""=""""["""""",""=""""41175.070"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.20g"",""=""""2G"""""",""=""""7/2,9/2"""""",""=""""["""""",""=""""41175.102"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
